Server,Tagname,Value,Timestamp,Questionable,Annotated,Substituted
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:00:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:01:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:02:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:03:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:04:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:05:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:06:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:07:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:08:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:09:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:10:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:11:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:12:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:13:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:14:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:15:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:16:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:17:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,3,4/30/2024 12:18:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:19:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 12:20:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:21:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:22:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:23:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:24:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:25:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:26:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 12:27:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 12:28:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:29:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:30:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:31:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:32:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:33:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:34:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:35:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:36:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:37:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:38:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:39:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:40:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:41:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:42:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:43:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:44:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:45:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:46:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 12:47:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:48:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:49:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:50:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:51:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:52:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:53:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:54:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:55:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:56:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:57:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:58:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 12:59:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:00:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:01:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:02:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:03:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 1:04:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:05:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:06:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:07:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:08:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:09:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:10:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:11:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:12:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:13:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:14:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:15:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:16:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:17:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:18:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:19:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:20:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:21:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:22:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:23:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:24:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:25:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:26:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:27:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:28:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:29:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 1:30:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:31:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:32:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:33:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:34:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:35:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:36:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:37:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:38:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:39:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:40:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:41:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:42:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:43:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:44:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:45:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:46:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:47:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:48:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:49:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:50:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:51:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:52:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:53:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:54:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:55:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:56:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:57:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:58:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 1:59:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:00:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:01:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:02:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:03:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:04:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:05:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:06:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:07:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:08:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:09:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 2:10:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:11:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:12:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:13:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:14:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:15:04 AM,False,Not Annotated,False
