Server,Tagname,Value,Timestamp,Questionable,Annotated,Substituted
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:16:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:17:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:18:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:19:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:20:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:21:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:22:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:23:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:24:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:25:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:26:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:27:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:28:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:29:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:30:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:31:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:32:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:33:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:34:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:35:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:36:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:37:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:38:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:39:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:40:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:41:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:42:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:43:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:44:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:45:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:46:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 2:47:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:48:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:49:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:50:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:51:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:52:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:53:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:54:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:55:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:56:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:57:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:58:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 2:59:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:00:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:01:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:02:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:03:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:04:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:05:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:06:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:07:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:08:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:09:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:10:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:11:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:12:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:13:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:14:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:15:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:16:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:17:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:18:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:19:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:20:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:21:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 3:22:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:23:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:24:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:25:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:26:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:27:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:28:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:29:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:30:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:31:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:32:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:33:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:34:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:35:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:36:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:37:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:38:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:39:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:40:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:41:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:42:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:43:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:44:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:45:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:46:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:47:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:48:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:49:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 3:50:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:51:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:52:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:53:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 3:54:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:55:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:56:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:57:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:58:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 3:59:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:00:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:01:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:02:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:03:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:04:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:05:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:06:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:07:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:08:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:09:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:10:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:11:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:12:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:13:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:14:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 4:15:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:16:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 4:17:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:18:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:19:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 4:20:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:21:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:22:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:23:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:24:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:25:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:26:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:27:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:28:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:29:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,2,4/30/2024 4:30:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:31:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:32:04 AM,False,Not Annotated,False
GCP03WOSPIAP01,GCP03WOSPIAP01_PI_SERVER_PING_STATUS,1,4/30/2024 4:33:04 AM,False,Not Annotated,False
